Class,crop_planet_1,crop_planet_2,crop_planet_3,crop_planet_4,crop_planet_5,crop_planet_6,crop_planet_7,crop_planet_8
"1","4444.00000","4679.00000","4634.00000","4643.00000","4814.00000","4762.00000","4831.00000","5755.00000"
"1","4593.00000","4808.00000","4792.00000","4778.00000","5030.00000","4938.00000","4997.00000","5833.00000"
"1","4932.00000","5474.00000","5449.00000","5479.00000","5705.00000","5826.00000","5759.00000","6630.00000"
"1","4256.00000","4489.00000","4573.00000","4643.00000","4828.00000","4931.00000","4891.00000","5735.00000"
"1","4305.00000","4454.00000","4463.00000","4555.00000","4814.00000","4758.00000","4795.00000","5758.00000"
"1","3807.00000","4099.00000","4159.00000","4180.00000","4458.00000","4403.00000","4532.00000","5477.00000"
"1","3852.00000","4104.00000","4118.00000","4211.00000","4337.00000","4362.00000","4405.00000","5373.00000"
"1","2187.00000","2390.00000","2435.00000","2496.00000","2501.00000","2550.00000","2797.00000","4138.00000"
"1","2703.00000","3060.00000","2998.00000","3057.00000","3165.00000","3242.00000","3464.00000","4833.00000"
"1","2643.00000","2931.00000","3050.00000","3005.00000","3147.00000","3203.00000","3366.00000","4651.00000"
"1","2469.00000","2066.00000","2345.00000","2518.00000","2744.00000","2495.00000","3063.00000","4478.00000"
"1","2529.00000","2543.00000","2615.00000","2780.00000","2895.00000","2856.00000","3198.00000","4569.00000"
"1","3919.00000","4208.00000","4327.00000","4394.00000","4527.00000","4518.00000","4729.00000","5690.00000"
"1","3486.00000","3658.00000","3671.00000","3826.00000","3937.00000","3900.00000","4137.00000","5193.00000"
"1","3905.00000","4055.00000","4129.00000","4162.00000","4408.00000","4322.00000","4593.00000","5795.00000"
"1","2969.00000","3167.00000","3282.00000","3387.00000","3505.00000","3485.00000","3656.00000","5097.00000"
"1","4239.00000","4293.00000","4535.00000","4583.00000","4797.00000","4736.00000","5004.00000","6237.00000"
"1","4105.00000","4358.00000","4414.00000","4517.00000","4669.00000","4761.00000","4964.00000","5914.00000"
"1","3070.00000","3098.00000","3210.00000","3271.00000","3343.00000","3377.00000","3448.00000","5032.00000"
"1","2327.00000","2548.00000","2565.00000","2607.00000","2675.00000","2661.00000","2732.00000","3990.00000"
"1","2395.00000","2586.00000","2563.00000","2586.00000","2673.00000","2665.00000","2755.00000","3981.00000"
"1","1851.00000","2210.00000","2230.00000","2238.00000","2350.00000","2394.00000","2334.00000","3408.00000"
"1","2342.00000","2386.00000","2496.00000","2527.00000","2573.00000","2507.00000","2706.00000","3859.00000"
"1","3503.00000","3731.00000","3813.00000","3877.00000","3955.00000","4051.00000","4076.00000","5288.00000"
"1","3634.00000","3881.00000","3955.00000","3970.00000","4098.00000","4050.00000","4273.00000","5339.00000"
"1","3758.00000","4027.00000","4116.00000","4155.00000","4301.00000","4314.00000","4358.00000","5594.00000"
